source_row_id,names,orig_title,release_year,reason,unmatched_reason,best_candidate_title,best_candidate_original_title,best_candidate_year,best_candidate_tmdb_id,best_candidate_confidence,duplicate_of_tmdb_id
80,A Frozen Rooster,Huevitos Congelados,2022.0,Confidence below threshold (0.78 < 0.82).,Confidence below threshold (0.78 < 0.82).,Little Eggs: A Frozen Rescue,Huevitos congelados,2022.0,573171.0,0.7829,
96,Scream,Scream,2022.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
97,Devotion,Devotion,2023.0,Confidence below threshold (0.71 < 0.82).,Confidence below threshold (0.71 < 0.82).,Seductive Devotion,Seductive Devotion,2023.0,1302554.0,0.7122,
105,Smile,Smile,2022.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,Smile,Smile,2022.0,882598.0,0.9498,
109,The Ten Commandments,The Ten Commandments,1958.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
110,The Ten Commandments,The Ten Commandments,1958.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
117,Fast X,Fast X,2023.0,Not released status.,Not released status.,,,,,,
151,Sisu,Sisu,2023.0,Best title similarity below threshold.,Best title similarity below threshold.,Scrapper,Scrapper,2023.0,935906.0,0.3917,
168,Babylon,Babylon,2023.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,Evil Babylon,Evil Babylon,2023.0,1155563.0,0.7872,
170,The Lost City,The Lost City,2022.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
195,Close,Close,2023.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Close,Close,2023.0,1209780.0,0.7673,
203,Polar,Polar,2022.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Polar,Polaire,2022.0,995719.0,0.7687,
212,The Avengers,The Avengers,2012.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
216,The Little Mermaid,The Little Mermaid,2023.0,Not released status.,Not released status.,,,,,,
222,Brothers,Brothers,2010.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
229,Transformers: Rise of the Beasts,Transformers: Rise of the Beasts,2023.0,Not released status.,Not released status.,,,,,,
231,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,2023.0,Not released status.,Not released status.,,,,,,
235,I Believe,I Believe,2017.0,Best title similarity below threshold.,Best title similarity below threshold.,"I’ve believed, I believe",Верила-Верю,2017.0,560546.0,0.4829,
239,Ben-Hur,Ben-Hur,1960.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Ben-Hur,Ben-Hur,1959.0,665.0,0.8118,
240,Ben-Hur,Ben-Hur,1960.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
288,Mortal Kombat,Mortal Kombat,2021.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
305,Housewife Sex Slaves: Hatano Yui,人妻性奴隷 波多野結衣,2015.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
328,The Lion King,The Lion King,1994.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
344,The Princess and the Frog,The Princess and the Frog,2010.0,Confidence below threshold (0.55 < 0.82).,Confidence below threshold (0.55 < 0.82).,Princess Tukky,ตุ๊กกี้ เจ้าหญิงขายกบ,2010.0,217952.0,0.5493,
373,Barbie,Barbie,2023.0,Not released status.,Not released status.,,,,,,
380,Scream,Scream,1997.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
389,The Good Dinosaur,The Good Dinosaur,2016.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,The Good Dinosaur: Hide and Seek,The Good Dinosaur: Hide and Seek,2016.0,701170.0,0.7704,
397,Pinocchio,Pinocchio,2022.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
398,Pinocchio,Pinocchio,2022.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
414,Guardians of the Galaxy Volume 3,Guardians of the Galaxy Volume 3,2023.0,Not released status.,Not released status.,,,,,,
417,Mulan,Mulan,1998.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,Mulan,Mulan,1998.0,441705.0,0.9241,
418,Mulan,Mulan,1998.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
422,Dungeons & Dragons,Dungeons & Dragons,2001.0,Best title similarity below threshold.,Best title similarity below threshold.,"The Making of ""Dungeons and Dragons""","The Making of ""Dungeons and Dragons""",2001.0,1229217.0,0.6771,
439,Terrifier,Terrifier,2016.0,Confidence below threshold (0.73 < 0.82).,Confidence below threshold (0.73 < 0.82).,Terrifier 4,Terrifier 4,,1320786.0,0.7326,
450,Twilight,Twilight,2008.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
463,After,After,2019.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
469,The Emperor's New Groove,The Emperor's New Groove,2001.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,The Emperor's New Groove,The Emperor's New Groove,2000.0,11688.0,0.8082,
472,The Lion King,The Lion King,2019.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
495,Cinderella,Cinderella,1950.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
506,Ben-Hur,Ben-Hur,2016.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
524,Dune,Dune,2021.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
530,The princess,La Princesa,2022.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
537,Hidden Figures,Hidden Figures,2017.0,Best title similarity below threshold.,Best title similarity below threshold.,It All Adds Up - The Making of Hidden Figures,It All Adds Up - The Making of Hidden Figures,2017.0,1533402.0,0.6789,
559,Monster Hunter,Monster Hunter,2021.0,Confidence below threshold (0.72 < 0.82).,Confidence below threshold (0.72 < 0.82).,Monster Hunter: Legends of the Guild,Monster Hunter: Legends of the Guild,2021.0,851281.0,0.7208,
564,The Exorcist,The Exorcist,2001.0,Confidence below threshold (0.58 < 0.82).,Confidence below threshold (0.58 < 0.82).,The Exorcist's Vengeful Curse,陰陽師 呪詛返し,2001.0,1044117.0,0.5848,
567,Extraction 2,Extraction 2,2023.0,Not released status.,Not released status.,,,,,,
